%Channels,1,
%Samples,6163,
%Date,3/6/2015,
%Time,11:55:06,
%Y_Unit_Label,Angle (deg),
%X_Dimension,Time (s),
%X0,55:06.4,
%Delta_X,0.02,
%***End_of_Header***,,
%X_Value,03/06/2015 11:55:02 AM - Angular - Dev1_ctr0,Comment
26,35.064,
26.02,34.272,
26.04,33.336,
26.06,32.184,
26.08,30.96,
26.1,29.52,
26.12,27.936,
26.14,26.244,
26.16,24.408,
26.18,22.464,
26.2,20.412,
26.22,18.216,
26.24,15.984,
26.26,13.68,
26.28,11.304,
26.3,8.856,
26.32,6.408,
26.34,3.888,
26.36,1.368,
26.38,-1.116,
26.4,-3.6,
26.42,-6.084,
26.44,-8.532,
26.46,-10.98,
26.48,-13.356,
26.5,-15.66,
26.52,-17.856,
26.54,-19.98,
26.56,-22.032,
26.58,-23.904,
26.6,-25.704,
26.62,-27.396,
26.64,-28.944,
26.66,-30.348,
26.68,-31.644,
26.7,-32.796,
26.72,-33.768,
26.74,-34.56,
26.76,-35.208,
26.78,-35.676,
26.8,-35.964,
26.82,-36.144,
26.84,-36.108,
26.86,-35.892,
26.88,-35.532,
26.9,-35.028,
26.92,-34.308,
26.94,-33.48,
26.96,-32.436,
26.98,-31.284,
27,-29.952,
27.02,-28.512,
27.04,-26.928,
27.06,-25.164,
27.08,-23.328,
27.1,-21.384,
27.12,-19.332,
27.14,-17.244,
27.16,-15.012,
27.18,-12.744,
27.2,-10.332,
27.22,-7.92,
27.24,-5.508,
27.26,-3.06,
27.28,-0.576,
27.3,1.872,
27.32,4.356,
27.34,6.84,
27.36,9.252,
27.38,11.592,
27.4,13.896,
27.42,16.2,
27.44,18.36,
27.46,20.448,
27.48,22.428,
27.5,24.3,
27.52,26.064,
27.54,27.684,
27.56,29.232,
27.58,30.528,
27.6,31.716,
27.62,32.76,
27.64,33.624,
27.66,34.344,
27.68,34.92,
27.7,35.28,
27.72,35.532,
27.74,35.568,
27.76,35.46,
27.78,35.172,
